Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,SO2,NOX,NO2,CO,RSP,O3,FSP
05-04-1993,MONG KOK,24,243,49,85,N.A.,N.A.,N.A.
06-04-1993,MONG KOK,21,248,58,117,N.A.,N.A.,N.A.
07-04-1993,MONG KOK,32,322,48,150,N.A.,N.A.,N.A.
08-04-1993,MONG KOK,33,337,57,165,N.A.,N.A.,N.A.
09-04-1993,MONG KOK,35,307,70,122,N.A.,N.A.,N.A.
10-04-1993,MONG KOK,29,202,53,83,N.A.,N.A.,N.A.
11-04-1993,MONG KOK,26,204,46,78,N.A.,N.A.,N.A.
12-04-1993,MONG KOK,26,202,48,76,N.A.,N.A.,N.A.
13-04-1993,MONG KOK,26,196,52,76,N.A.,N.A.,N.A.
14-04-1993,MONG KOK,28,230,48,86,N.A.,N.A.,N.A.
15-04-1993,MONG KOK,32,244,18,86,N.A.,N.A.,N.A.
16-04-1993,MONG KOK,42,306,22,105,N.A.,N.A.,N.A.
17-04-1993,MONG KOK,15,223,23,114,N.A.,N.A.,N.A.
18-04-1993,MONG KOK,12,160,26,91,N.A.,N.A.,N.A.
19-04-1993,MONG KOK,15,209,28,98,N.A.,N.A.,N.A.
20-04-1993,MONG KOK,11,274,26,120,N.A.,N.A.,N.A.
21-04-1993,MONG KOK,11,528,26,150,N.A.,N.A.,N.A.
22-04-1993,MONG KOK,13,570,10,137,N.A.,N.A.,N.A.
23-04-1993,MONG KOK,7,275,2,79,N.A.,N.A.,N.A.
24-04-1993,MONG KOK,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
25-04-1993,MONG KOK,45,239,58,102,N.A.,N.A.,N.A.
26-04-1993,MONG KOK,47,246,88,113,N.A.,N.A.,N.A.
27-04-1993,MONG KOK,44,278,62,146,N.A.,N.A.,N.A.
28-04-1993,MONG KOK,44,211,52,102,N.A.,N.A.,N.A.
29-04-1993,MONG KOK,50,326,70,136,N.A.,N.A.,N.A.
30-04-1993,MONG KOK,49,347,87,142,N.A.,N.A.,N.A.
01-05-1993,MONG KOK,40,373,110,171,N.A.,N.A.,N.A.
02-05-1993,MONG KOK,42,291,94,131,N.A.,N.A.,N.A.
03-05-1993,MONG KOK,84,421,132,151,N.A.,N.A.,N.A.
04-05-1993,MONG KOK,N.A.,249,110,124,N.A.,N.A.,N.A.
05-05-1993,MONG KOK,60,312,117,150,N.A.,N.A.,N.A.
06-05-1993,MONG KOK,86,330,98,136,N.A.,N.A.,N.A.
07-05-1993,MONG KOK,62,316,90,120,N.A.,N.A.,N.A.
08-05-1993,MONG KOK,83,304,87,132,N.A.,N.A.,N.A.
09-05-1993,MONG KOK,44,267,98,80,N.A.,N.A.,N.A.
10-05-1993,MONG KOK,47,377,138,123,N.A.,N.A.,N.A.
11-05-1993,MONG KOK,N.A.,284,127,116,N.A.,N.A.,N.A.
12-05-1993,MONG KOK,32,263,111,129,N.A.,N.A.,N.A.
13-05-1993,MONG KOK,40,271,95,144,N.A.,N.A.,N.A.
14-05-1993,MONG KOK,80,356,114,177,N.A.,N.A.,N.A.
15-05-1993,MONG KOK,59,328,120,180,N.A.,N.A.,N.A.
16-05-1993,MONG KOK,36,210,92,140,N.A.,N.A.,N.A.
17-05-1993,MONG KOK,37,215,79,145,N.A.,N.A.,N.A.
18-05-1993,MONG KOK,N.A.,220,79,134,N.A.,N.A.,N.A.
19-05-1993,MONG KOK,N.A.,216,66,130,N.A.,N.A.,N.A.
20-05-1993,MONG KOK,N.A.,193,55,113,N.A.,N.A.,N.A.
21-05-1993,MONG KOK,100,319,74,102,N.A.,N.A.,N.A.
22-05-1993,MONG KOK,66,296,77,117,N.A.,N.A.,N.A.
23-05-1993,MONG KOK,59,264,62,101,N.A.,N.A.,N.A.
24-05-1993,MONG KOK,42,322,78,95,N.A.,N.A.,N.A.
25-05-1993,MONG KOK,27,316,76,N.A.,N.A.,N.A.,N.A.
26-05-1993,MONG KOK,49,391,86,104,N.A.,N.A.,N.A.
27-05-1993,MONG KOK,93,379,130,108,N.A.,N.A.,N.A.
28-05-1993,MONG KOK,83,410,147,111,N.A.,N.A.,N.A.
29-05-1993,MONG KOK,121,350,161,102,N.A.,N.A.,N.A.
30-05-1993,MONG KOK,73,272,127,58,N.A.,N.A.,N.A.
31-05-1993,MONG KOK,41,230,61,68,N.A.,N.A.,N.A.
01-06-1993,MONG KOK,24,203,44,65,N.A.,N.A.,N.A.
02-06-1993,MONG KOK,42,319,85,82,N.A.,N.A.,N.A.
03-06-1993,MONG KOK,26,322,74,91,N.A.,N.A.,N.A.
04-06-1993,MONG KOK,78,356,65,95,N.A.,N.A.,N.A.
05-06-1993,MONG KOK,33,304,57,89,N.A.,N.A.,N.A.
06-06-1993,MONG KOK,67,310,124,74,N.A.,N.A.,N.A.
07-06-1993,MONG KOK,62,345,79,45,N.A.,N.A.,N.A.
08-06-1993,MONG KOK,55,254,53,25,N.A.,N.A.,N.A.
09-06-1993,MONG KOK,43,321,66,52,N.A.,N.A.,N.A.
10-06-1993,MONG KOK,26,298,73,58,N.A.,N.A.,N.A.
11-06-1993,MONG KOK,36,444,75,122,N.A.,N.A.,N.A.
12-06-1993,MONG KOK,39,223,49,45,N.A.,N.A.,N.A.
13-06-1993,MONG KOK,23,214,54,39,N.A.,N.A.,N.A.
14-06-1993,MONG KOK,39,233,50,37,N.A.,N.A.,N.A.
15-06-1993,MONG KOK,41,226,53,31,N.A.,N.A.,N.A.
16-06-1993,MONG KOK,26,321,61,67,N.A.,N.A.,N.A.
17-06-1993,MONG KOK,31,286,48,52,N.A.,N.A.,N.A.
18-06-1993,MONG KOK,39,281,50,51,N.A.,N.A.,N.A.
19-06-1993,MONG KOK,52,256,46,57,N.A.,N.A.,N.A.
20-06-1993,MONG KOK,33,175,43,19,N.A.,N.A.,N.A.
21-06-1993,MONG KOK,41,273,63,60,N.A.,N.A.,N.A.
22-06-1993,MONG KOK,43,288,65,46,N.A.,N.A.,N.A.
23-06-1993,MONG KOK,59,319,64,56,N.A.,N.A.,N.A.
24-06-1993,MONG KOK,11,152,46,27,N.A.,N.A.,N.A.
25-06-1993,MONG KOK,26,248,57,45,N.A.,N.A.,N.A.
26-06-1993,MONG KOK,28,273,53,73,N.A.,N.A.,N.A.
27-06-1993,MONG KOK,4,64,24,N.A.,N.A.,N.A.,N.A.
28-06-1993,MONG KOK,10,204,47,47,N.A.,N.A.,N.A.
29-06-1993,MONG KOK,21,254,47,64,N.A.,N.A.,N.A.
30-06-1993,MONG KOK,59,243,46,61,N.A.,N.A.,N.A.
01-07-1993,MONG KOK,48,220,48,43,N.A.,N.A.,N.A.
02-07-1993,MONG KOK,53,267,59,43,N.A.,N.A.,N.A.
03-07-1993,MONG KOK,54,235,50,38,N.A.,N.A.,N.A.
04-07-1993,MONG KOK,44,179,41,16,N.A.,N.A.,N.A.
05-07-1993,MONG KOK,58,213,44,18,N.A.,N.A.,N.A.
06-07-1993,MONG KOK,45,234,51,20,N.A.,N.A.,N.A.
07-07-1993,MONG KOK,47,251,54,23,N.A.,N.A.,N.A.
08-07-1993,MONG KOK,49,262,53,26,N.A.,N.A.,N.A.
09-07-1993,MONG KOK,19,199,41,32,N.A.,N.A.,N.A.
10-07-1993,MONG KOK,17,214,46,44,N.A.,N.A.,N.A.
11-07-1993,MONG KOK,9,185,40,21,N.A.,N.A.,N.A.
12-07-1993,MONG KOK,14,215,48,43,N.A.,N.A.,N.A.
13-07-1993,MONG KOK,15,264,57,54,N.A.,N.A.,N.A.
14-07-1993,MONG KOK,16,246,53,35,N.A.,N.A.,N.A.
15-07-1993,MONG KOK,70,303,59,43,N.A.,N.A.,N.A.
16-07-1993,MONG KOK,60,234,51,N.A.,N.A.,N.A.,N.A.
17-07-1993,MONG KOK,21,227,51,N.A.,N.A.,N.A.,N.A.
18-07-1993,MONG KOK,18,186,44,N.A.,N.A.,N.A.,N.A.
19-07-1993,MONG KOK,22,237,54,N.A.,N.A.,N.A.,N.A.
20-07-1993,MONG KOK,37,242,56,29,N.A.,N.A.,N.A.
21-07-1993,MONG KOK,30,227,51,36,N.A.,N.A.,N.A.
22-07-1993,MONG KOK,25,279,64,55,N.A.,N.A.,N.A.
23-07-1993,MONG KOK,37,289,59,48,N.A.,N.A.,N.A.
24-07-1993,MONG KOK,28,257,59,34,N.A.,N.A.,N.A.
25-07-1993,MONG KOK,27,203,50,19,N.A.,N.A.,N.A.
26-07-1993,MONG KOK,43,271,59,35,N.A.,N.A.,N.A.
27-07-1993,MONG KOK,44,275,61,41,N.A.,N.A.,N.A.
28-07-1993,MONG KOK,34,296,59,113,N.A.,N.A.,N.A.
29-07-1993,MONG KOK,47,275,73,150,N.A.,N.A.,N.A.
30-07-1993,MONG KOK,50,340,90,180,N.A.,N.A.,N.A.
31-07-1993,MONG KOK,40,305,92,204,N.A.,N.A.,N.A.
01-08-1993,MONG KOK,14,201,49,172,N.A.,N.A.,N.A.
02-08-1993,MONG KOK,14,N.A.,N.A.,159,N.A.,N.A.,N.A.
03-08-1993,MONG KOK,25,261,61,176,N.A.,N.A.,N.A.
04-08-1993,MONG KOK,40,302,69,194,N.A.,N.A.,N.A.
05-08-1993,MONG KOK,51,272,62,156,N.A.,N.A.,N.A.
06-08-1993,MONG KOK,33,268,58,159,N.A.,N.A.,N.A.
07-08-1993,MONG KOK,28,272,62,174,N.A.,N.A.,N.A.
08-08-1993,MONG KOK,28,240,64,166,N.A.,N.A.,N.A.
09-08-1993,MONG KOK,57,399,96,194,N.A.,N.A.,N.A.
10-08-1993,MONG KOK,80,555,119,226,N.A.,N.A.,N.A.
11-08-1993,MONG KOK,36,299,77,181,N.A.,N.A.,N.A.
12-08-1993,MONG KOK,20,242,68,172,N.A.,N.A.,N.A.
13-08-1993,MONG KOK,28,325,73,186,N.A.,N.A.,N.A.
14-08-1993,MONG KOK,28,269,70,180,N.A.,N.A.,N.A.
15-08-1993,MONG KOK,15,254,63,177,N.A.,N.A.,N.A.
16-08-1993,MONG KOK,15,286,72,190,N.A.,N.A.,N.A.
17-08-1993,MONG KOK,22,330,79,202,N.A.,N.A.,N.A.
18-08-1993,MONG KOK,35,382,93,203,N.A.,N.A.,N.A.
19-08-1993,MONG KOK,45,365,84,195,N.A.,N.A.,N.A.
20-08-1993,MONG KOK,9,191,54,156,N.A.,N.A.,N.A.
21-08-1993,MONG KOK,7,206,53,176,N.A.,N.A.,N.A.
22-08-1993,MONG KOK,7,212,54,161,N.A.,N.A.,N.A.
23-08-1993,MONG KOK,22,294,60,188,N.A.,N.A.,N.A.
24-08-1993,MONG KOK,117,546,89,198,N.A.,N.A.,N.A.
25-08-1993,MONG KOK,138,549,156,219,N.A.,N.A.,N.A.
26-08-1993,MONG KOK,77,371,108,194,N.A.,N.A.,N.A.
27-08-1993,MONG KOK,59,366,63,184,N.A.,N.A.,N.A.
28-08-1993,MONG KOK,15,264,48,175,N.A.,N.A.,N.A.
29-08-1993,MONG KOK,8,195,59,159,N.A.,N.A.,N.A.
30-08-1993,MONG KOK,12,256,76,175,N.A.,N.A.,N.A.
31-08-1993,MONG KOK,30,291,105,187,N.A.,N.A.,N.A.
01-09-1993,MONG KOK,48,347,106,217,N.A.,N.A.,N.A.
02-09-1993,MONG KOK,60,394,133,222,N.A.,N.A.,N.A.
03-09-1993,MONG KOK,75,383,178,227,N.A.,N.A.,N.A.
04-09-1993,MONG KOK,54,342,151,242,N.A.,N.A.,N.A.
05-09-1993,MONG KOK,14,205,75,180,N.A.,N.A.,N.A.
06-09-1993,MONG KOK,28,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
07-09-1993,MONG KOK,18,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
08-09-1993,MONG KOK,42,287,100,N.A.,N.A.,N.A.,N.A.
09-09-1993,MONG KOK,32,236,88,165,N.A.,N.A.,N.A.
10-09-1993,MONG KOK,35,249,93,180,N.A.,N.A.,N.A.
11-09-1993,MONG KOK,53,289,105,193,N.A.,N.A.,N.A.
12-09-1993,MONG KOK,49,299,119,192,N.A.,N.A.,N.A.
13-09-1993,MONG KOK,44,348,139,265,N.A.,N.A.,N.A.
14-09-1993,MONG KOK,62,382,147,256,N.A.,N.A.,N.A.
15-09-1993,MONG KOK,28,260,75,206,N.A.,N.A.,N.A.
16-09-1993,MONG KOK,44,334,87,192,N.A.,N.A.,N.A.
17-09-1993,MONG KOK,5,106,26,130,N.A.,N.A.,N.A.
18-09-1993,MONG KOK,11,249,51,188,N.A.,N.A.,N.A.
19-09-1993,MONG KOK,10,198,48,147,N.A.,N.A.,N.A.
20-09-1993,MONG KOK,37,315,75,199,N.A.,N.A.,N.A.
21-09-1993,MONG KOK,34,299,90,189,N.A.,N.A.,N.A.
22-09-1993,MONG KOK,34,268,52,175,N.A.,N.A.,N.A.
23-09-1993,MONG KOK,19,305,48,205,N.A.,N.A.,N.A.
24-09-1993,MONG KOK,22,311,73,198,N.A.,N.A.,N.A.
25-09-1993,MONG KOK,20,284,76,207,N.A.,N.A.,N.A.
26-09-1993,MONG KOK,15,198,61,174,N.A.,N.A.,N.A.
27-09-1993,MONG KOK,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
28-09-1993,MONG KOK,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
29-09-1993,MONG KOK,94,464,135,260,N.A.,N.A.,N.A.
30-09-1993,MONG KOK,53,338,85,271,N.A.,N.A.,N.A.
01-10-1993,MONG KOK,38,240,73,196,N.A.,N.A.,N.A.
02-10-1993,MONG KOK,63,341,101,233,N.A.,N.A.,N.A.
03-10-1993,MONG KOK,42,226,86,173,N.A.,N.A.,N.A.
04-10-1993,MONG KOK,53,291,100,207,N.A.,N.A.,N.A.
05-10-1993,MONG KOK,76,366,120,229,N.A.,N.A.,N.A.
06-10-1993,MONG KOK,64,346,113,192,N.A.,N.A.,N.A.
07-10-1993,MONG KOK,77,421,127,176,N.A.,N.A.,N.A.
08-10-1993,MONG KOK,84,432,135,190,N.A.,N.A.,N.A.
09-10-1993,MONG KOK,61,327,135,196,N.A.,N.A.,N.A.
10-10-1993,MONG KOK,45,238,109,167,N.A.,N.A.,N.A.
11-10-1993,MONG KOK,54,299,107,166,N.A.,N.A.,N.A.
12-10-1993,MONG KOK,65,315,130,188,N.A.,N.A.,N.A.
13-10-1993,MONG KOK,46,326,91,231,N.A.,N.A.,N.A.
14-10-1993,MONG KOK,25,294,78,209,N.A.,N.A.,N.A.
15-10-1993,MONG KOK,47,294,81,234,N.A.,N.A.,N.A.
16-10-1993,MONG KOK,52,318,85,238,N.A.,N.A.,N.A.
17-10-1993,MONG KOK,43,268,79,202,N.A.,N.A.,N.A.
18-10-1993,MONG KOK,64,334,80,230,N.A.,N.A.,N.A.
19-10-1993,MONG KOK,57,291,85,207,N.A.,N.A.,N.A.
20-10-1993,MONG KOK,57,303,98,188,N.A.,N.A.,N.A.
21-10-1993,MONG KOK,59,297,119,185,N.A.,N.A.,N.A.
22-10-1993,MONG KOK,64,354,132,184,N.A.,N.A.,N.A.
23-10-1993,MONG KOK,54,306,126,146,N.A.,N.A.,N.A.
24-10-1993,MONG KOK,44,262,115,150,N.A.,N.A.,N.A.
25-10-1993,MONG KOK,49,317,115,191,N.A.,N.A.,N.A.
26-10-1993,MONG KOK,37,285,100,182,N.A.,N.A.,N.A.
27-10-1993,MONG KOK,38,302,96,201,N.A.,N.A.,N.A.
28-10-1993,MONG KOK,41,294,95,178,N.A.,N.A.,N.A.
29-10-1993,MONG KOK,54,362,86,201,N.A.,N.A.,N.A.
30-10-1993,MONG KOK,53,356,96,142,N.A.,N.A.,N.A.
31-10-1993,MONG KOK,45,300,96,70,N.A.,N.A.,N.A.
01-11-1993,MONG KOK,70,427,122,114,N.A.,N.A.,N.A.
02-11-1993,MONG KOK,65,398,110,117,N.A.,N.A.,N.A.
03-11-1993,MONG KOK,49,318,89,153,N.A.,N.A.,N.A.
04-11-1993,MONG KOK,6,234,65,149,N.A.,N.A.,N.A.
05-11-1993,MONG KOK,19,294,76,197,N.A.,N.A.,N.A.
06-11-1993,MONG KOK,20,344,78,220,N.A.,N.A.,N.A.
07-11-1993,MONG KOK,33,294,72,177,N.A.,N.A.,N.A.
08-11-1993,MONG KOK,32,302,77,201,N.A.,N.A.,N.A.
09-11-1993,MONG KOK,45,324,82,193,N.A.,N.A.,N.A.
10-11-1993,MONG KOK,38,292,81,183,N.A.,N.A.,N.A.
11-11-1993,MONG KOK,37,259,77,166,N.A.,N.A.,N.A.
12-11-1993,MONG KOK,134,435,114,244,N.A.,N.A.,N.A.
13-11-1993,MONG KOK,79,N.A.,N.A.,193,N.A.,N.A.,N.A.
14-11-1993,MONG KOK,33,N.A.,N.A.,183,N.A.,N.A.,N.A.
15-11-1993,MONG KOK,40,N.A.,N.A.,199,N.A.,N.A.,N.A.
16-11-1993,MONG KOK,50,302,106,205,N.A.,N.A.,N.A.
17-11-1993,MONG KOK,49,304,98,217,N.A.,N.A.,N.A.
18-11-1993,MONG KOK,50,305,87,194,N.A.,N.A.,N.A.
19-11-1993,MONG KOK,44,317,92,188,N.A.,N.A.,N.A.
20-11-1993,MONG KOK,49,330,93,197,N.A.,N.A.,N.A.
21-11-1993,MONG KOK,35,232,59,134,N.A.,N.A.,N.A.
22-11-1993,MONG KOK,42,N.A.,N.A.,147,N.A.,N.A.,N.A.
23-11-1993,MONG KOK,67,365,91,155,N.A.,N.A.,N.A.
24-11-1993,MONG KOK,59,313,85,165,N.A.,N.A.,N.A.
25-11-1993,MONG KOK,37,408,94,215,N.A.,N.A.,N.A.
26-11-1993,MONG KOK,64,414,88,234,N.A.,N.A.,N.A.
27-11-1993,MONG KOK,74,407,103,249,N.A.,N.A.,N.A.
28-11-1993,MONG KOK,47,289,85,208,N.A.,N.A.,N.A.
29-11-1993,MONG KOK,58,341,110,202,N.A.,N.A.,N.A.
30-11-1993,MONG KOK,71,379,96,268,N.A.,N.A.,N.A.
01-12-1993,MONG KOK,49,346,92,224,N.A.,N.A.,N.A.
02-12-1993,MONG KOK,47,289,81,240,N.A.,N.A.,N.A.
03-12-1993,MONG KOK,63,442,99,232,N.A.,N.A.,N.A.
04-12-1993,MONG KOK,60,369,98,277,N.A.,N.A.,N.A.
05-12-1993,MONG KOK,49,273,82,211,N.A.,N.A.,N.A.
06-12-1993,MONG KOK,68,387,111,233,N.A.,N.A.,N.A.
07-12-1993,MONG KOK,63,376,121,212,N.A.,N.A.,N.A.
08-12-1993,MONG KOK,54,340,112,218,N.A.,N.A.,N.A.
09-12-1993,MONG KOK,67,352,106,200,N.A.,N.A.,N.A.
10-12-1993,MONG KOK,73,397,122,235,N.A.,N.A.,N.A.
11-12-1993,MONG KOK,54,334,107,256,N.A.,N.A.,N.A.
12-12-1993,MONG KOK,21,255,93,253,N.A.,N.A.,N.A.
13-12-1993,MONG KOK,36,370,99,314,N.A.,N.A.,N.A.
14-12-1993,MONG KOK,44,303,76,265,N.A.,N.A.,N.A.
15-12-1993,MONG KOK,44,319,70,236,N.A.,N.A.,N.A.
16-12-1993,MONG KOK,60,357,83,196,N.A.,N.A.,N.A.
17-12-1993,MONG KOK,62,381,98,164,N.A.,N.A.,N.A.
18-12-1993,MONG KOK,64,386,110,189,N.A.,N.A.,N.A.
19-12-1993,MONG KOK,66,391,128,173,N.A.,N.A.,N.A.
20-12-1993,MONG KOK,62,377,111,215,N.A.,N.A.,N.A.
21-12-1993,MONG KOK,67,N.A.,N.A.,151,N.A.,N.A.,N.A.
22-12-1993,MONG KOK,57,340,109,140,N.A.,N.A.,N.A.
23-12-1993,MONG KOK,79,445,140,165,N.A.,N.A.,N.A.
24-12-1993,MONG KOK,78,461,128,162,N.A.,N.A.,N.A.
25-12-1993,MONG KOK,77,504,140,187,N.A.,N.A.,N.A.
26-12-1993,MONG KOK,105,635,154,238,N.A.,N.A.,N.A.
27-12-1993,MONG KOK,59,376,124,188,N.A.,N.A.,N.A.
28-12-1993,MONG KOK,53,394,123,193,N.A.,N.A.,N.A.
29-12-1993,MONG KOK,51,385,114,186,N.A.,N.A.,N.A.
30-12-1993,MONG KOK,81,567,128,226,N.A.,N.A.,N.A.
31-12-1993,MONG KOK,77,434,136,232,N.A.,N.A.,N.A.
01-01-1994,MONG KOK,42,280,106,206,N.A.,N.A.,N.A.
02-01-1994,MONG KOK,34,268,100,185,N.A.,N.A.,N.A.
03-01-1994,MONG KOK,89,616,142,263,N.A.,N.A.,N.A.
04-01-1994,MONG KOK,86,588,140,291,N.A.,N.A.,N.A.
05-01-1994,MONG KOK,65,462,133,242,N.A.,N.A.,N.A.
06-01-1994,MONG KOK,114,701,168,270,N.A.,N.A.,N.A.
07-01-1994,MONG KOK,48,339,108,222,N.A.,N.A.,N.A.
08-01-1994,MONG KOK,66,403,123,235,N.A.,N.A.,N.A.
09-01-1994,MONG KOK,78,452,136,244,N.A.,N.A.,N.A.
10-01-1994,MONG KOK,54,367,120,228,N.A.,N.A.,N.A.
11-01-1994,MONG KOK,57,366,115,248,N.A.,N.A.,N.A.
12-01-1994,MONG KOK,54,349,106,195,N.A.,N.A.,N.A.
13-01-1994,MONG KOK,80,434,102,251,N.A.,N.A.,N.A.
14-01-1994,MONG KOK,46,343,76,211,N.A.,N.A.,N.A.
15-01-1994,MONG KOK,57,368,101,218,N.A.,N.A.,N.A.
16-01-1994,MONG KOK,51,370,100,197,N.A.,N.A.,N.A.
17-01-1994,MONG KOK,54,405,104,239,N.A.,N.A.,N.A.
18-01-1994,MONG KOK,90,618,109,279,N.A.,N.A.,N.A.
19-01-1994,MONG KOK,52,342,77,196,N.A.,N.A.,N.A.
20-01-1994,MONG KOK,59,387,80,179,N.A.,N.A.,N.A.
21-01-1994,MONG KOK,65,398,111,122,N.A.,N.A.,N.A.
22-01-1994,MONG KOK,65,393,111,137,N.A.,N.A.,N.A.
23-01-1994,MONG KOK,47,328,108,110,N.A.,N.A.,N.A.
24-01-1994,MONG KOK,54,349,122,135,N.A.,N.A.,N.A.
25-01-1994,MONG KOK,73,463,136,181,N.A.,N.A.,N.A.
26-01-1994,MONG KOK,89,603,166,218,N.A.,N.A.,N.A.
27-01-1994,MONG KOK,71,399,136,165,N.A.,N.A.,N.A.
28-01-1994,MONG KOK,78,489,143,184,N.A.,N.A.,N.A.
29-01-1994,MONG KOK,56,334,122,170,N.A.,N.A.,N.A.
30-01-1994,MONG KOK,41,271,90,139,N.A.,N.A.,N.A.
31-01-1994,MONG KOK,41,300,96,169,N.A.,N.A.,N.A.
01-02-1994,MONG KOK,91,593,136,235,N.A.,N.A.,N.A.
02-02-1994,MONG KOK,54,308,97,190,N.A.,N.A.,N.A.
03-02-1994,MONG KOK,53,302,101,187,N.A.,N.A.,N.A.
04-02-1994,MONG KOK,38,299,101,183,N.A.,N.A.,N.A.
05-02-1994,MONG KOK,35,355,112,224,N.A.,N.A.,N.A.
06-02-1994,MONG KOK,37,359,96,214,N.A.,N.A.,N.A.
07-02-1994,MONG KOK,70,432,105,237,N.A.,N.A.,N.A.
08-02-1994,MONG KOK,61,436,112,231,N.A.,N.A.,N.A.
09-02-1994,MONG KOK,54,314,101,206,N.A.,N.A.,N.A.
10-02-1994,MONG KOK,23,268,96,138,N.A.,N.A.,N.A.
11-02-1994,MONG KOK,25,530,100,283,N.A.,N.A.,N.A.
12-02-1994,MONG KOK,22,321,94,184,N.A.,N.A.,N.A.
13-02-1994,MONG KOK,19,244,81,121,N.A.,N.A.,N.A.
14-02-1994,MONG KOK,36,287,93,163,N.A.,N.A.,N.A.
15-02-1994,MONG KOK,47,369,83,214,N.A.,N.A.,N.A.
16-02-1994,MONG KOK,15,N.A.,N.A.,176,N.A.,N.A.,N.A.
17-02-1994,MONG KOK,39,277,71,164,N.A.,N.A.,N.A.
18-02-1994,MONG KOK,41,312,85,180,N.A.,N.A.,N.A.
19-02-1994,MONG KOK,46,371,91,224,N.A.,N.A.,N.A.
20-02-1994,MONG KOK,50,280,80,168,N.A.,N.A.,N.A.
21-02-1994,MONG KOK,48,296,100,139,N.A.,N.A.,N.A.
22-02-1994,MONG KOK,55,355,122,184,N.A.,N.A.,N.A.
23-02-1994,MONG KOK,56,315,103,214,N.A.,N.A.,N.A.
24-02-1994,MONG KOK,56,391,108,196,N.A.,N.A.,N.A.
25-02-1994,MONG KOK,47,317,74,142,N.A.,N.A.,N.A.
26-02-1994,MONG KOK,45,346,82,154,N.A.,N.A.,N.A.
27-02-1994,MONG KOK,34,257,61,129,N.A.,N.A.,N.A.
28-02-1994,MONG KOK,46,354,87,151,N.A.,N.A.,N.A.
01-03-1994,MONG KOK,49,349,103,151,N.A.,N.A.,N.A.
02-03-1994,MONG KOK,52,351,90,138,N.A.,N.A.,N.A.
03-03-1994,MONG KOK,80,505,150,170,N.A.,N.A.,N.A.
04-03-1994,MONG KOK,52,369,126,148,N.A.,N.A.,N.A.
05-03-1994,MONG KOK,51,363,142,151,N.A.,N.A.,N.A.
06-03-1994,MONG KOK,41,307,124,132,N.A.,N.A.,N.A.
07-03-1994,MONG KOK,61,455,133,213,N.A.,N.A.,N.A.
08-03-1994,MONG KOK,75,520,122,228,N.A.,N.A.,N.A.
09-03-1994,MONG KOK,43,340,117,214,N.A.,N.A.,N.A.
10-03-1994,MONG KOK,46,332,95,182,N.A.,N.A.,N.A.
11-03-1994,MONG KOK,47,375,118,182,N.A.,N.A.,N.A.
12-03-1994,MONG KOK,54,451,130,264,N.A.,N.A.,N.A.
13-03-1994,MONG KOK,40,289,93,193,N.A.,N.A.,N.A.
14-03-1994,MONG KOK,44,334,80,175,N.A.,N.A.,N.A.
15-03-1994,MONG KOK,39,347,93,180,N.A.,N.A.,N.A.
16-03-1994,MONG KOK,41,358,124,202,N.A.,N.A.,N.A.
17-03-1994,MONG KOK,76,499,122,259,N.A.,N.A.,N.A.
18-03-1994,MONG KOK,47,409,103,198,N.A.,N.A.,N.A.
19-03-1994,MONG KOK,64,475,116,228,N.A.,N.A.,N.A.
20-03-1994,MONG KOK,39,309,92,125,N.A.,N.A.,N.A.
21-03-1994,MONG KOK,51,410,142,158,N.A.,N.A.,N.A.
22-03-1994,MONG KOK,47,429,127,199,N.A.,N.A.,N.A.
23-03-1994,MONG KOK,67,427,126,152,N.A.,N.A.,N.A.
24-03-1994,MONG KOK,63,405,136,126,N.A.,N.A.,N.A.
25-03-1994,MONG KOK,55,359,136,101,N.A.,N.A.,N.A.
26-03-1994,MONG KOK,56,377,134,103,N.A.,N.A.,N.A.
27-03-1994,MONG KOK,36,251,104,76,N.A.,N.A.,N.A.
28-03-1994,MONG KOK,46,307,125,75,N.A.,N.A.,N.A.
29-03-1994,MONG KOK,43,293,126,83,N.A.,N.A.,N.A.
30-03-1994,MONG KOK,42,317,127,108,N.A.,N.A.,N.A.
31-03-1994,MONG KOK,37,322,124,126,N.A.,N.A.,N.A.
01-04-1994,MONG KOK,52,333,122,108,N.A.,N.A.,N.A.
02-04-1994,MONG KOK,58,337,123,112,N.A.,N.A.,N.A.
03-04-1994,MONG KOK,41,241,104,91,N.A.,N.A.,N.A.
04-04-1994,MONG KOK,53,276,104,104,N.A.,N.A.,N.A.
05-04-1994,MONG KOK,59,315,91,101,N.A.,N.A.,N.A.
06-04-1994,MONG KOK,57,296,83,110,N.A.,N.A.,N.A.
07-04-1994,MONG KOK,62,345,89,110,N.A.,N.A.,N.A.
08-04-1994,MONG KOK,55,302,92,107,N.A.,N.A.,N.A.
