,Year,Month,Day,Mean Temperature,Mean Pressure,Rainfall,Relative Humidity,Mean Cloud,Evaporation,Global Solar Radiation,Max UV,Prevailing Wind Direction,Wind Speed,Mean UV,Total Sunlight,SO2,NOX,NO2,CO
3030,-1.0833333333333333,0.16666666666666666,-1.0,4.0,-1.0918367346938629,0.0,-0.16666666666666666,-0.24242424242424243,1.5217391304347827,1.1054766734279924,1.5,-0.09090909090909091,-0.023255813953488292,2.0,0.7974683544303797,0.21428571428571427,-0.8424242424242424,-1.2,0.5102040816326531
3031,-1.0833333333333333,0.16666666666666666,-0.9333333333333333,4.0,-1.3979591836734526,3.84375,-0.08333333333333333,-0.30303030303030304,0.5217391304347827,0.094320486815416,0.25,1.3636363636363635,-1.069767441860465,0.0,0.21518987341772153,2.4285714285714284,0.13333333333333333,-0.6222222222222222,1.3877551020408163
3032,-1.0833333333333333,0.16666666666666666,-0.8666666666666667,4.0,-1.4693877551020282,0.0,0.08333333333333333,0.18181818181818182,1.434782608695652,-0.23833671399594322,0.25,1.3636363636363635,-0.7906976744186046,0.0,-0.36708860759493667,1.6428571428571428,-0.06666666666666667,-0.6222222222222222,-0.16326530612244897
3033,-1.0833333333333333,0.16666666666666666,-0.8,4.0,-1.3469387755101878,24.90625,0.6666666666666666,0.24242424242424243,-0.3043478260869566,-0.35801217038539557,0.5,-0.18181818181818182,0.09302325581395357,0.0,-0.37974683544303794,0.35714285714285715,0.14545454545454545,-0.8,-1.3877551020408163
3034,-1.0833333333333333,0.16666666666666666,-0.7333333333333333,4.0,-1.3469387755101878,26.40625,0.25,0.24242424242424243,1.5217391304347827,0.09939148073022319,1.25,1.2727272727272727,-0.20930232558139522,0.5,0.08860759493670887,0.5,0.10909090909090909,-0.4444444444444444,-1.3061224489795917
3035,-1.0833333333333333,0.16666666666666666,-0.6666666666666666,4.0,-1.4693877551020282,0.0,0.08333333333333333,0.30303030303030304,1.3913043478260871,0.12474645030425971,0.25,1.3636363636363635,-0.3255813953488371,0.0,0.025316455696202552,3.142857142857143,0.47878787878787876,0.4666666666666667,-0.6326530612244898
3036,-1.0833333333333333,0.16666666666666666,-0.6,4.0,-1.3877551020407974,-0.03125,0.0,0.21212121212121213,0.4782608695652173,-0.09837728194726157,0.0,1.3636363636363635,-0.5116279069767441,0.0,-0.531645569620253,1.7142857142857142,-0.11515151515151516,-0.2222222222222222,-0.7551020408163265
3037,-1.0833333333333333,0.16666666666666666,-0.5333333333333333,4.0,-1.1836734693877375,2.03125,-0.08333333333333333,0.24242424242424243,1.043478260869565,0.2718052738336714,1.25,0.7272727272727273,-0.697674418604651,1.0,0.18987341772151897,1.6428571428571428,-0.503030303030303,-0.8888888888888888,-0.8775510204081632
3038,-1.0833333333333333,0.16666666666666666,-0.4666666666666667,4.0,-1.0612244897959087,12.156249999999998,0.4166666666666667,0.3939393939393939,0.4782608695652173,-0.5669371196754565,-0.25,0.7272727272727273,-0.5116279069767441,-0.5,-0.6582278481012658,2.0,-0.16363636363636364,-0.8444444444444444,-0.6938775510204082
3039,-1.0833333333333333,0.16666666666666666,-0.4,4.0,-0.9591836734693787,20.15625,0.6666666666666666,0.3333333333333333,0.2173913043478261,-0.13387423935091267,1.0,1.3636363636363635,-0.9069767441860465,0.5,-0.1772151898734177,1.3571428571428572,0.012121212121212121,-0.8222222222222222,-0.4897959183673469
3040,-1.0833333333333333,0.16666666666666666,-0.3333333333333333,4.0,-1.0102040816326436,26.09375,0.8333333333333334,0.45454545454545453,0.6956521739130433,-0.825557809330629,0.75,1.4545454545454546,-0.7674418604651161,-0.5,-0.6075949367088607,0.9285714285714286,0.14545454545454545,-0.7333333333333333,-0.14285714285714285
3041,-1.0833333333333333,0.16666666666666666,-0.26666666666666666,4.0,-1.0816326530612077,15.96875,0.5,0.5757575757575758,0.5652173913043478,-0.9908722109533471,-0.75,1.0,0.558139534883721,-1.0,-0.670886075949367,1.1428571428571428,-0.12121212121212122,-0.8666666666666667,0.08163265306122448
3042,-1.0833333333333333,0.16666666666666666,-0.2,4.0,-0.989795918367333,12.593749999999998,0.8333333333333334,0.5151515151515151,-0.3478260869565219,-1.2119675456389454,-1.25,1.3636363636363635,-1.2093023255813953,-1.15,-0.670886075949367,1.2857142857142858,0.21212121212121213,-0.8222222222222222,0.24489795918367346
3043,-1.0833333333333333,0.16666666666666666,-0.13333333333333333,4.0,-0.6530612244897891,9.84375,0.4166666666666667,0.3333333333333333,0.08695652173913032,-0.38539553752535494,0.5,1.3636363636363635,-0.7441860465116278,0.0,-0.5443037974683543,1.2142857142857142,-0.024242424242424242,-0.9333333333333333,0.24489795918367346
3050,-1.0833333333333333,0.16666666666666666,0.3333333333333333,5.0,-1.2653061224489686,4.21875,-0.3333333333333333,-0.06060606060606061,1.043478260869565,0.2271805273833674,1.0,-0.9090909090909091,-0.046511627906976584,0.5,0.2025316455696203,1.2142857142857142,0.09090909090909091,-0.06666666666666667,0.20408163265306123
3051,-1.0833333333333333,0.16666666666666666,0.4,4.0,-2.163265306122427,98.65624999999999,0.16666666666666666,0.5151515151515151,0.4782608695652173,-1.244421906693712,-1.25,2.1818181818181817,4.627906976744187,-1.2,-0.670886075949367,-0.35714285714285715,-0.8424242424242424,-1.3555555555555556,-0.9183673469387755
